דרך,כיוון,שנה,חודש,ממוצע יומי באלפים,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,דרך: דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,0,2020,12,179.8,2455,1380,853,686,888,2606,8465,10376,10301,10458,10941,10886,11051,10945,10885,10768,11014,10553,10581,9741,8252,6682,5075,3950
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,1,2020,12,80.9,1113,622,365,302,394,1052,3361,4662,4852,4735,4797,4755,4913,4857,4794,4899,5245,5000,4887,4396,3782,3003,2297,1803
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,2,2020,12,98.9,1342,759,489,384,493,1554,5104,5714,5450,5723,6145,6131,6139,6089,6090,5870,5769,5553,5694,5345,4471,3679,2779,2148
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,0,2021,8,222.5,4840,3390,2215,1661,2498,3586,9206,11470,11716,11818,11712,11982,12587,12350,12609,12740,12641,12614,12408,11811,10982,10274,8994,6404
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,1,2021,8,119.3,2157,1589,1073,802,1176,1687,4405,5878,6145,6414,6196,6401,6732,6669,6904,7322,7298,7123,6947,6578,6158,5682,4831,3087
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,2,2021,8,103.3,2683,1800,1142,858,1322,1900,4800,5591,5571,5403,5517,5580,5855,5682,5705,5418,5342,5491,5461,5232,4824,4591,4163,3317
דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,דרך: דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9
דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,0,2020,7,193.0,3303,1571,992,939,1262,3421,8556,11416,11226,10843,11077,11322,11177,11189,11153,11036,11274,11586,11541,10289,8942,7435,6405,5018
דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,1,2020,7,106.3,1674,746,485,466,646,1669,3918,6406,6848,6339,6214,6196,6352,6509,6352,6184,6252,6217,6189,5919,4912,3891,3240,2670
דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,2,2020,7,86.7,1629,825,508,474,616,1752,4638,5010,4378,4504,4863,5127,4825,4680,4802,4852,5022,5368,5352,4370,4030,3544,3165,2348
דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,דרך: דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1
דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,0,2021,9,224.7,5438,2948,1989,1487,2373,3615,9625,12011,12105,12281,12632,12422,12161,12132,12017,12461,12979,12726,12330,11893,11348,10740,8389,6564
דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,1,2021,9,107.7,2823,1566,1041,783,1185,1737,4320,5502,5586,5605,5806,5880,6028,5965,5693,5789,6136,6112,6140,5934,5605,5253,3948,3220
דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,2,2021,9,117.0,2615,1382,948,704,1188,1879,5305,6508,6519,6676,6826,6542,6133,6167,6324,6671,6843,6614,6190,5959,5743,5488,4441,3344
דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,דרך: דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0
דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,0,2020,12,165.9,2970,1547,953,709,858,2445,7415,8976,9003,9742,10231,10264,10416,10291,10428,10366,9811,9067,8791,8496,7138,6262,5277,4415
דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,1,2020,12,84.6,1506,764,475,342,406,1073,3429,4321,4260,4807,5133,5093,5222,5160,5401,5518,5231,4856,4734,4705,3882,3273,2719,2291
דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,2,2020,12,81.3,1464,783,478,367,452,1371,3986,4655,4743,4935,5098,5171,5194,5131,5028,4849,4581,4211,4057,3791,3257,2989,2558,2125
